Tarih,Hat,Enerji Tipi,Tuketim (kWh),Uretim Adedi,Hedef kWh/birim,CO2 Faktoru,Planlanan Iyilestirme,Sorumlu Ekip,Durum
2026-01-01,HAT-01,Elektrik,1613.8,801,2.15,0.00042,Standart izleme,Tesis,Acik
2026-01-01,HAT-02,Dogalgaz,624.6,601,1.35,0.0002,Standart izleme,Tesis,Kapandi
2026-01-01,HAT-03,Basincli Hava,151.2,670,0.58,8e-05,Kacak kontrolu,Tesis,Kapandi
2026-01-02,HAT-01,Dogalgaz,907.8,863,1.35,0.0002,Standart izleme,Tesis,Izlemede
2026-01-02,HAT-02,Basincli Hava,152.6,689,0.58,8e-05,Basinc optimizasyonu,Tesis,Izlemede
2026-01-02,HAT-03,Elektrik,1577.9,633,2.15,0.00042,Kacak kontrolu,Tesis,Izlemede
2026-01-03,HAT-01,Basincli Hava,190.4,909,0.58,8e-05,Basinc optimizasyonu,Tesis,Acik
2026-01-03,HAT-02,Elektrik,1642.5,686,2.15,0.00042,Standart izleme,Tesis,Izlemede
2026-01-03,HAT-03,Dogalgaz,869.5,816,1.35,0.0002,Kacak kontrolu,Tesis,Izlemede
2026-01-04,HAT-01,Elektrik,1941.0,855,2.15,0.00042,Standart izleme,Tesis,Izlemede
2026-01-04,HAT-02,Dogalgaz,752.4,749,1.35,0.0002,Standart izleme,Tesis,Izlemede
2026-01-04,HAT-03,Basincli Hava,149.3,687,0.58,8e-05,Kacak kontrolu,Tesis,Kapandi
2026-01-05,HAT-01,Dogalgaz,908.8,847,1.35,0.0002,Standart izleme,Tesis,Kapandi
2026-01-05,HAT-02,Basincli Hava,156.9,783,0.58,8e-05,Basinc optimizasyonu,Tesis,Kapandi
2026-01-05,HAT-03,Elektrik,2223.9,809,2.15,0.00042,Kacak kontrolu,Tesis,Kapandi
2026-01-06,HAT-01,Basincli Hava,183.9,842,0.58,8e-05,Basinc optimizasyonu,Tesis,Acik
2026-01-06,HAT-02,Elektrik,1637.3,735,2.15,0.00042,Standart izleme,Tesis,Kapandi
2026-01-06,HAT-03,Dogalgaz,695.2,591,1.35,0.0002,Kacak kontrolu,Tesis,Acik
2026-01-07,HAT-01,Elektrik,2088.9,845,2.15,0.00042,Standart izleme,Tesis,Kapandi
2026-01-07,HAT-02,Dogalgaz,836.1,798,1.35,0.0002,Standart izleme,Tesis,Izlemede
2026-01-07,HAT-03,Basincli Hava,147.4,608,0.58,8e-05,Kacak kontrolu,Tesis,Kapandi
2026-01-08,HAT-01,Dogalgaz,824.9,862,1.35,0.0002,Standart izleme,Tesis,Acik
2026-01-08,HAT-02,Basincli Hava,202.8,900,0.58,8e-05,Basinc optimizasyonu,Tesis,Acik
2026-01-08,HAT-03,Elektrik,1861.8,701,2.15,0.00042,Kacak kontrolu,Tesis,Acik
2026-01-09,HAT-01,Basincli Hava,152.1,724,0.58,8e-05,Basinc optimizasyonu,Tesis,Kapandi
2026-01-09,HAT-02,Elektrik,1986.6,800,2.15,0.00042,Standart izleme,Tesis,Izlemede
2026-01-09,HAT-03,Dogalgaz,990.5,795,1.35,0.0002,Kacak kontrolu,Tesis,Acik
2026-01-10,HAT-01,Elektrik,1751.1,819,2.15,0.00042,Standart izleme,Tesis,Izlemede
2026-01-10,HAT-02,Dogalgaz,733.2,641,1.35,0.0002,Standart izleme,Tesis,Izlemede
2026-01-10,HAT-03,Basincli Hava,145.4,594,0.58,8e-05,Kacak kontrolu,Tesis,Kapandi
2026-01-11,HAT-01,Dogalgaz,1123.6,977,1.35,0.0002,Standart izleme,Tesis,Izlemede
2026-01-11,HAT-02,Basincli Hava,167.7,734,0.58,8e-05,Basinc optimizasyonu,Tesis,Izlemede
